VERSION	2020-38079
DATE	2021-11-09, 12:32:29 (+0800)
HEIGHT	1.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.5001.500
TIME_STEP	0.0000.0040.0080.0120.0160.0200.0240.0280.0320.0360.0400.0440.0480.0520.0560.0600.0640.0680.0720.0760.0800.0840.0880.0920.0960.1000.1040.1080.1120.1160.1200.1240.1280.1320.1360.1400.1440.1480.1520.1560.1600.1640.1680.1720.1760.1800.1840.1880.1920.1960.2000.2040.2080.2120.2160.2200.2240.2280.2320.2360.2400.2440.2480.2520.2560.2600.2640.2680.2720.2760.2800.2840.2880.2920.2960.3000.3040.3080.3120.3160.3200.3240.3280.3320.3360.3400.3440.3480.3520.3560.3600.3640.3680.3720.3760.3800.3840.3880.3920.3960.4000.4040.4080.4120.4160.4200.4240.4280.4320.4360.4400.4440.4480.4520.4560.4600.4640.4680.4720.4760.4800.4840.4880.4920.4960.5000.5040.5080.5120.5160.5200.5240.5280.5320.5360.5400.5440.5480.5520.5560.5600.5640.5680.5720.5760.5800.5840.5880.5920.5960.6000.6040.6080.6120.6160.6200.6240.6280.6320.6360.6400.6440.6480.6520.6560.6600.6640.6680.6720.6760.6800.6840.6880.6920.6960.7000.7040.7080.7120.7160.7200.7240.7280.7320.7360.7400.7440.7480.7520.7560.7600.7640.7680.7720.7760.7800.7840.7880.7920.7960.8000.8040.8080.8120.8160.8200.8240.8280.8320.8360.8400.8440.8480.8520.8560.8600.8640.8680.8720.8760.8800.8840.8880.8920.8960.9000.9040.9080.9120.9160.9200.9240.9280.9320.9360.9400.9440.9480.9520.9560.9600.9640.9680.9720.9760.9800.9840.9880.9920.9961.0001.0041.0081.0121.0161.0201.0241.0281.0321.0361.0401.0441.0481.0521.0561.0601.0641.0681.0721.0761.0801.0841.0881.0921.0961.1001.1041.1081.1121.1161.1201.1241.1281.1321.1361.1401.1441.1481.1521.1561.1601.1641.1681.1721.1761.1801.1841.1881.1921.1961.2001.2041.2081.2121.2161.2201.2241.2281.2321.2361.2401.2441.2481.2521.2561.2601.2641.2681.2721.2761.2801.2841.2881.2921.2961.3001.3041.3081.3121.3161.3201.3241.3281.3321.3361.3401.3441.3481.3521.3561.3601.3641.3681.3721.3761.3801.3841.3881.3921.3961.4001.4041.4081.4121.4161.4201.4241.4281.4321.4361.4401.4441.4481.4521.4561.4601.4641.4681.4721.4761.4801.4841.4881.4921.4961.5001.5041.5081.5121.5161.5201.5241.5281.5321.5361.5401.5441.5481.5521.5561.5601.5641.5681.5721.5761.5801.5841.5881.5921.5961.6001.6041.6081.6121.6161.6201.6241.6281.6321.6361.6401.6441.6481.6521.6561.6601.6641.6681.6721.6761.6801.6841.6881.6921.6961.7001.7041.7081.7121.7161.7201.7241.7281.7321.7361.7401.7441.7481.7521.7561.7601.7641.7681.7721.7761.7801.7841.7881.7921.7961.8001.8041.8081.8121.8161.8201.8241.8281.8321.8361.8401.8441.8481.8521.8561.8601.8641.8681.8721.8761.8801.8841.8881.8921.8961.9001.9041.9081.9121.9161.9201.9241.9281.9321.9361.9401.9441.9481.9521.9561.9601.9641.9681.9721.9761.9801.9841.9881.9921.9962.0002.0042.0082.0122.0162.0202.0242.0282.0322.0362.0402.0442.0482.0522.0562.0602.0642.0682.0722.0762.0802.0842.0882.0922.0962.1002.1042.1082.1122.1162.1202.1242.1282.1322.1362.1402.1442.1482.1522.1562.1602.1642.1682.1722.1762.1802.1842.1882.1922.1962.2002.2042.2082.2122.2162.2202.2242.2282.2322.2362.2402.2442.2482.2522.2562.2602.2642.2682.2722.2762.2802.2842.2882.2922.2962.3002.3042.3082.3122.3162.3202.3242.3282.3322.3362.3402.3442.3482.3522.3562.3602.3642.3682.3722.3762.3802.3842.3882.3922.3962.4002.4042.4082.4122.4162.4202.4242.4282.4322.4362.4402.4442.4482.4522.4562.4602.4642.4682.4722.4762.4802.4842.4882.4922.4962.5002.5042.5082.5122.5162.5202.5242.5282.5322.5362.5402.5442.5482.5522.5562.5602.5642.5682.5722.5762.5802.5842.5882.5922.5962.6002.6042.6082.6122.6162.6202.6242.6282.6322.6362.6402.6442.6482.6522.6562.6602.6642.6682.6722.6762.6802.6842.6882.6922.6962.7002.7042.7082.7122.7162.7202.7242.7282.7322.7362.7402.7442.7482.7522.7562.7602.7642.7682.7722.7762.7802.7842.7882.7922.7962.8002.8042.8082.8122.8162.8202.8242.8282.8322.8362.8402.8442.8482.8522.8562.8602.8642.8682.8722.8762.8802.8842.8882.8922.8962.9002.9042.9082.9122.9162.9202.9242.9282.9322.9362.9402.9442.9482.9522.9562.9602.9642.9682.9722.9762.9802.9842.9882.9922.9963.0003.0043.0083.0123.0163.0203.0243.0283.0323.0363.0403.0443.0483.0523.0563.0603.0643.0683.0723.0763.0803.0843.0883.0923.0963.1003.1043.1083.1123.1163.1203.1243.1283.1323.1363.1403.1443.1483.1523.1563.1603.1643.1683.1723.1763.1803.1843.1883.1923.1963.2003.2043.2083.2123.2163.2203.2243.2283.2323.2363.2403.2443.2483.2523.2563.2603.2643.2683.2723.2763.2803.2843.2883.2923.2963.3003.3043.3083.3123.3163.3203.3243.3283.3323.3363.3403.3443.3483.3523.3563.3603.3643.3683.3723.3763.3803.3843.3883.3923.3963.4003.4043.4083.4123.4163.4203.4243.4283.4323.4363.4403.4443.4483.4523.4563.4603.4643.4683.4723.4763.4803.4843.4883.4923.4963.5003.5043.5083.5123.5163.5203.5243.5283.5323.5363.5403.5443.5483.5523.5563.5603.5643.5683.5723.5763.5803.5843.5883.5923.5963.6003.6043.6083.6123.6163.6203.6243.6283.6323.6363.6403.6443.6483.6523.6563.6603.6643.6683.6723.6763.6803.6843.6883.6923.6963.7003.7043.7083.7123.7163.7203.7243.7283.7323.7363.7403.7443.7483.7523.7563.7603.7643.7683.7723.7763.7803.7843.7883.7923.7963.8003.8043.8083.8123.8163.8203.8243.8283.8323.8363.8403.8443.8483.8523.8563.8603.8643.8683.8723.8763.8803.8843.8883.8923.8963.9003.9043.9083.9123.9163.9203.9243.9283.9323.9363.9403.9443.9483.9523.9563.9603.9643.9683.9723.9763.9803.9843.9883.9923.9964.000
RESOLUTION	0.50000000

BEGIN_DATA
-7.50000 -2.50000 1.50000 -16.0715
-7.50000 -2.50000 1.50000 -16.0637
-7.50000 -2.50000 1.50000 -16.0559
-7.50000 -2.50000 1.50000 -16.0481
-7.50000 -2.50000 1.50000 -16.0404
-7.50000 -2.50000 1.50000 -16.0326
-7.50000 -2.50000 1.50000 -16.0249
-7.50000 -2.50000 1.50000 -16.0172
-7.50000 -2.50000 1.50000 -16.0095
-7.50000 -2.50000 1.50000 -16.0018
-7.50000 -2.50000 1.50000 -15.9942
-7.50000 -2.50000 1.50000 -15.9865
-7.50000 -2.50000 1.50000 -15.9789
-7.50000 -2.50000 1.50000 -15.9713
-7.50000 -2.50000 1.50000 -15.9637
-7.50000 -2.50000 1.50000 -15.9561
-7.50000 -2.50000 1.50000 -15.9485
-7.50000 -2.50000 1.50000 -15.9409
-7.50000 -2.50000 1.50000 -15.9334
-7.50000 -2.50000 1.50000 -15.9259
-7.50000 -2.50000 1.50000 -15.1167
-7.50000 -2.50000 1.50000 -15.1087
-7.50000 -2.50000 1.50000 -15.1007
-7.50000 -2.50000 1.50000 -15.0927
-7.50000 -2.50000 1.50000 -15.0847
-7.50000 -2.50000 1.50000 -15.0768
-7.50000 -2.50000 1.50000 -15.0689
-7.50000 -2.50000 1.50000 -15.0610
-7.50000 -2.50000 1.50000 -15.0531
-7.50000 -2.50000 1.50000 -15.0452
-7.50000 -2.50000 1.50000 -15.0374
-7.50000 -2.50000 1.50000 -15.0296
-7.50000 -2.50000 1.50000 -15.0218
-7.50000 -2.50000 1.50000 -15.0141
-7.50000 -2.50000 1.50000 -15.0063
-7.50000 -2.50000 1.50000 -14.9986
-7.50000 -2.50000 1.50000 -14.9909
-7.50000 -2.50000 1.50000 -14.9833
-7.50000 -2.50000 1.50000 -14.9756
-7.50000 -2.50000 1.50000 -14.9680
-7.50000 -2.50000 1.50000 -14.9604
-7.50000 -2.50000 1.50000 -14.9528
-7.50000 -2.50000 1.50000 -14.9453
-7.50000 -2.50000 1.50000 -14.9378
-7.50000 -2.50000 1.50000 -14.9303
-7.50000 -2.50000 1.50000 -14.9228
-7.50000 -2.50000 1.50000 -14.9153
-7.50000 -2.50000 1.50000 -14.9079
-7.50000 -2.50000 1.50000 -14.9005
-7.50000 -2.50000 1.50000 -14.8931
-7.50000 -2.50000 1.50000 -14.8858
-7.50000 -2.50000 1.50000 -14.8784
-7.50000 -2.50000 1.50000 -14.8711
-7.50000 -2.50000 1.50000 -14.8639
-7.50000 -2.50000 1.50000 -14.8566
-7.50000 -2.50000 1.50000 -14.8494
-7.50000 -2.50000 1.50000 -14.8421
-7.50000 -2.50000 1.50000 -14.8350
-7.50000 -2.50000 1.50000 -14.8278
-7.50000 -2.50000 1.50000 -14.8207
-7.50000 -2.50000 1.50000 -14.8136
-7.50000 -2.50000 1.50000 -14.8065
-7.50000 -2.50000 1.50000 -14.7994
-7.50000 -2.50000 1.50000 -14.7924
-7.50000 -2.50000 1.50000 -14.7853
-7.50000 -2.50000 1.50000 -14.7784
-7.50000 -2.50000 1.50000 -14.7714
-7.50000 -2.50000 1.50000 -14.7645
-7.50000 -2.50000 1.50000 -14.7575
-7.50000 -2.50000 1.50000 -14.7506
-7.50000 -2.50000 1.50000 -14.7438
-7.50000 -2.50000 1.50000 -14.7369
-7.50000 -2.50000 1.50000 -14.7301
-7.50000 -2.50000 1.50000 -14.7233
-7.50000 -2.50000 1.50000 -14.7165
-7.50000 -2.50000 1.50000 -14.7098
-7.50000 -2.50000 1.50000 -14.7031
-7.50000 -2.50000 1.50000 -14.6964
-7.50000 -2.50000 1.50000 -14.6897
-7.50000 -2.50000 1.50000 -14.6830
-7.50000 -2.50000 1.50000 -14.6764
-7.50000 -2.50000 1.50000 -14.6698
-7.50000 -2.50000 1.50000 -14.6632
-7.50000 -2.50000 1.50000 -14.6567
-7.50000 -2.50000 1.50000 -14.6502
-7.50000 -2.50000 1.50000 -14.6437
-7.50000 -2.50000 1.50000 -14.6372
-7.50000 -2.50000 1.50000 -14.6308
-7.50000 -2.50000 1.50000 -14.6243
-7.50000 -2.50000 1.50000 -14.6179
-7.50000 -2.50000 1.50000 -14.6115
-7.50000 -2.50000 1.50000 -14.6052
-7.50000 -2.50000 1.50000 -14.5989
-7.50000 -2.50000 1.50000 -14.5926
-7.50000 -2.50000 1.50000 -14.5863
-7.50000 -2.50000 1.50000 -14.5800
-7.50000 -2.50000 1.50000 -14.5738
-7.50000 -2.50000 1.50000 -14.5676
-7.50000 -2.50000 1.50000 -14.5614
-7.50000 -2.50000 1.50000 -14.5553
-7.50000 -2.50000 1.50000 -14.5491
-7.50000 -2.50000 1.50000 -14.5430
-7.50000 -2.50000 1.50000 -14.5370
-7.50000 -2.50000 1.50000 -14.5309
-7.50000 -2.50000 1.50000 -14.5249
-7.50000 -2.50000 1.50000 -14.5189
-7.50000 -2.50000 1.50000 -14.5129
-7.50000 -2.50000 1.50000 -14.5069
-7.50000 -2.50000 1.50000 -14.5010
-7.50000 -2.50000 1.50000 -14.4951
-7.50000 -2.50000 1.50000 -14.4892
-7.50000 -2.50000 1.50000 -14.4834
-7.50000 -2.50000 1.50000 -14.4775
-7.50000 -2.50000 1.50000 -14.4717
-7.50000 -2.50000 1.50000 -14.4659
-7.50000 -2.50000 1.50000 -14.4602
-7.50000 -2.50000 1.50000 -14.4545
-7.50000 -2.50000 1.50000 -14.4488
-7.50000 -2.50000 1.50000 -14.4431
-7.50000 -2.50000 1.50000 -14.4374
-7.50000 -2.50000 1.50000 -14.4318
-7.50000 -2.50000 1.50000 -14.4262
-7.50000 -2.50000 1.50000 -14.4206
-7.50000 -2.50000 1.50000 -14.4150
-7.50000 -2.50000 1.50000 -14.4095
-7.50000 -2.50000 1.50000 -14.4040
-7.50000 -2.50000 1.50000 -14.3985
-7.50000 -2.50000 1.50000 -14.3931
-7.50000 -2.50000 1.50000 -14.3876
-7.50000 -2.50000 1.50000 -14.3822
-7.50000 -2.50000 1.50000 -14.3768
-7.50000 -2.50000 1.50000 -14.3715
-7.50000 -2.50000 1.50000 -14.3661
-7.50000 -2.50000 1.50000 -14.3608
-7.50000 -2.50000 1.50000 -14.3555
-7.50000 -2.50000 1.50000 -14.3503
-7.50000 -2.50000 1.50000 -14.3443
-7.50000 -2.50000 1.50000 -14.3391
-7.50000 -2.50000 1.50000 -14.3340
-7.50000 -2.50000 1.50000 -14.3288
-7.50000 -2.50000 1.50000 -14.3237
-7.50000 -2.50000 1.50000 -14.3186
-7.50000 -2.50000 1.50000 -14.3136
-7.50000 -2.50000 1.50000 -14.3085
-7.50000 -2.50000 1.50000 -14.3035
-7.50000 -2.50000 1.50000 -14.2985
-7.50000 -2.50000 1.50000 -14.2935
-7.50000 -2.50000 1.50000 -14.2886
-7.50000 -2.50000 1.50000 -14.2837
-7.50000 -2.50000 1.50000 -14.2788
-7.50000 -2.50000 1.50000 -14.2739
-7.50000 -2.50000 1.50000 -14.2691
-7.50000 -2.50000 1.50000 -14.2643
-7.50000 -2.50000 1.50000 -14.2595
-7.50000 -2.50000 1.50000 -14.2547
-7.50000 -2.50000 1.50000 -14.2499
-7.50000 -2.50000 1.50000 -14.2452
-7.50000 -2.50000 1.50000 -14.2405
-7.50000 -2.50000 1.50000 -14.2358
-7.50000 -2.50000 1.50000 -14.2312
-7.50000 -2.50000 1.50000 -14.2266
-7.50000 -2.50000 1.50000 -14.2220
-7.50000 -2.50000 1.50000 -14.2174
-7.50000 -2.50000 1.50000 -14.2128
-7.50000 -2.50000 1.50000 -14.2083
-7.50000 -2.50000 1.50000 -14.2038
-7.50000 -2.50000 1.50000 -14.1993
-7.50000 -2.50000 1.50000 -14.1949
-7.50000 -2.50000 1.50000 -14.1904
-7.50000 -2.50000 1.50000 -14.1860
-7.50000 -2.50000 1.50000 -14.1816
-7.50000 -2.50000 1.50000 -14.1773
-7.50000 -2.50000 1.50000 -14.1729
-7.50000 -2.50000 1.50000 -14.1686
-7.50000 -2.50000 1.50000 -14.1643
-7.50000 -2.50000 1.50000 -14.1601
-7.50000 -2.50000 1.50000 -14.1558
-7.50000 -2.50000 1.50000 -14.1516
-7.50000 -2.50000 1.50000 -14.1474
-7.50000 -2.50000 1.50000 -14.1432
-7.50000 -2.50000 1.50000 -14.1391
-7.50000 -2.50000 1.50000 -14.1350
-7.50000 -2.50000 1.50000 -14.1309
-7.50000 -2.50000 1.50000 -14.1268
-7.50000 -2.50000 1.50000 -14.1228
-7.50000 -2.50000 1.50000 -14.1187
-7.50000 -2.50000 1.50000 -14.1147
-7.50000 -2.50000 1.50000 -14.1107
-7.50000 -2.50000 1.50000 -14.1068
-7.50000 -2.50000 1.50000 -14.1028
-7.50000 -2.50000 1.50000 -14.0989
-7.50000 -2.50000 1.50000 -14.0950
-7.50000 -2.50000 1.50000 -14.0912
-7.50000 -2.50000 1.50000 -14.0873
-7.50000 -2.50000 1.50000 -14.0835
-7.50000 -2.50000 1.50000 -14.0797
-7.50000 -2.50000 1.50000 -14.0760
-7.50000 -2.50000 1.50000 -14.0722
-7.50000 -2.50000 1.50000 -14.0685
-7.50000 -2.50000 1.50000 -14.0648
-7.50000 -2.50000 1.50000 -14.0611
-7.50000 -2.50000 1.50000 -14.0574
-7.50000 -2.50000 1.50000 -14.0538
-7.50000 -2.50000 1.50000 -14.0502
-7.50000 -2.50000 1.50000 -14.0466
-7.50000 -2.50000 1.50000 -14.0431
-7.50000 -2.50000 1.50000 -14.0395
-7.50000 -2.50000 1.50000 -14.0360
-7.50000 -2.50000 1.50000 -14.0325
-7.50000 -2.50000 1.50000 -14.0290
-7.50000 -2.50000 1.50000 -14.0256
-7.50000 -2.50000 1.50000 -14.0222
-7.50000 -2.50000 1.50000 -14.0188
-7.50000 -2.50000 1.50000 -14.0154
-7.50000 -2.50000 1.50000 -14.0120
-7.50000 -2.50000 1.50000 -14.0087
-7.50000 -2.50000 1.50000 -14.0053
-7.50000 -2.50000 1.50000 -14.0021
-7.50000 -2.50000 1.50000 -13.9988
-7.50000 -2.50000 1.50000 -13.9955
-7.50000 -2.50000 1.50000 -13.9923
-7.50000 -2.50000 1.50000 -13.9891
-7.50000 -2.50000 1.50000 -13.9859
-7.50000 -2.50000 1.50000 -13.9828
-7.50000 -2.50000 1.50000 -13.9796
-7.50000 -2.50000 1.50000 -13.9765
-7.50000 -2.50000 1.50000 -13.9734
-7.50000 -2.50000 1.50000 -13.9703
-7.50000 -2.50000 1.50000 -13.9673
-7.50000 -2.50000 1.50000 -13.9642
-7.50000 -2.50000 1.50000 -13.9613
-7.50000 -2.50000 1.50000 -13.9583
-7.50000 -2.50000 1.50000 -13.9553
-7.50000 -2.50000 1.50000 -13.9524
-7.50000 -2.50000 1.50000 -13.9494
-7.50000 -2.50000 1.50000 -13.9465
-7.50000 -2.50000 1.50000 -13.9437
-7.50000 -2.50000 1.50000 -13.9408
-7.50000 -2.50000 1.50000 -13.9380
-7.50000 -2.50000 1.50000 -13.9352
-7.50000 -2.50000 1.50000 -13.9324
-7.50000 -2.50000 1.50000 -13.9296
-7.50000 -2.50000 1.50000 -13.9268
-7.50000 -2.50000 1.50000 -13.9241
-7.50000 -2.50000 1.50000 -13.9214
-7.50000 -2.50000 1.50000 -13.9187
-7.50000 -2.50000 1.50000 -13.9160
-7.50000 -2.50000 1.50000 -13.9134
-7.50000 -2.50000 1.50000 -13.9108
-7.50000 -2.50000 1.50000 -13.9082
-7.50000 -2.50000 1.50000 -13.9056
-7.50000 -2.50000 1.50000 -13.9056
-7.50000 -2.50000 1.50000 -13.9056
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9055
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9054
-7.50000 -2.50000 1.50000 -13.9053
-7.50000 -2.50000 1.50000 -13.9053
-7.50000 -2.50000 1.50000 -13.9053
